"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"1","manage-bde -status","Completed","4/26/2026 11:27:43 AM","4/26/2026 11:27:44 AM"
"2","cd C:\Users\nicho\config\jgit","Completed","4/26/2026 2:26:26 PM","4/26/2026 2:26:26 PM"
"3","cd C:\Users\nicho\.config\jgit","Completed","4/26/2026 2:27:17 PM","4/26/2026 2:27:17 PM"
"4","-Force","Completed","4/26/2026 2:27:25 PM","4/26/2026 2:27:25 PM"
"5","ls -Force","Completed","4/26/2026 2:28:12 PM","4/26/2026 2:28:12 PM"
"6","git pull origin main","Completed","4/26/2026 2:29:18 PM","4/26/2026 2:29:19 PM"
"7","ssh ghost","Completed","4/26/2026 2:29:33 PM","4/26/2026 2:30:32 PM"
"8","ssh ghost","Completed","4/26/2026 2:30:42 PM","4/26/2026 2:31:03 PM"
"9","ssh ghost","Completed","4/26/2026 2:32:29 PM","4/26/2026 2:40:21 PM"
"10","cd C:\Users\nicho\Documents\GitHub\","Completed","4/26/2026 2:41:01 PM","4/26/2026 2:41:01 PM"
"11","git clone https://github.com/Nicholas-Butterfield/Hardened-Acer-Windows.git","Completed","4/26/2026 2:41:52 PM","4/26/2026 2:41:52 PM"
"12","git clone https://github.com/nicholas-Butterfield/Nicholas-Butterfield.git","Completed","4/26/2026 2:42:48 PM","4/26/2026 2:42:49 PM"
"13","cd Hardened-Acer-Windows","Completed","4/26/2026 2:43:56 PM","4/26/2026 2:43:56 PM"
"14","git init","Completed","4/26/2026 2:44:02 PM","4/26/2026 2:44:02 PM"
"15","git remote add origin https://github.com/Nicholas-Butterfield/Hardened-Acer-Windows.git","Completed","4/26/2026 2:44:52 PM","4/26/2026 2:44:52 PM"
"16","git pull origin main --allow-unrelated-histories","Completed","4/26/2026 2:45:20 PM","4/26/2026 2:45:21 PM"
"17","git add .","Completed","4/26/2026 2:46:32 PM","4/26/2026 2:46:32 PM"
"18","git stash","Completed","4/26/2026 2:46:39 PM","4/26/2026 2:46:39 PM"
"19","git pull origin main","Completed","4/26/2026 2:46:54 PM","4/26/2026 2:46:54 PM"
"20","git fetch origin","Completed","4/26/2026 2:47:34 PM","4/26/2026 2:47:34 PM"
"21","git reset --hard origin/main","Completed","4/26/2026 2:47:47 PM","4/26/2026 2:47:47 PM"
"22","ls -Force","Completed","4/26/2026 2:48:00 PM","4/26/2026 2:48:00 PM"
"23","cd","Completed","4/26/2026 2:59:57 PM","4/26/2026 2:59:57 PM"
"24","cd ~","Completed","4/26/2026 3:00:13 PM","4/26/2026 3:00:13 PM"
"25","cd C:\Users\nicho\Documents\GitHub\Hardened-Acer-Windows","Completed","4/26/2026 3:03:48 PM","4/26/2026 3:03:48 PM"
"26","Get-History | Export-Csv -Path ""docs/ps_history.csv
""","Completed","4/26/2026 3:10:42 PM","4/26/2026 3:10:42 PM"
